"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","listing-card--owner-info__firm-name","he-lazy-image src 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/manisa-akhisar-ataturk-kiralik/daire/72047-1459","31","22.500","20-03-2025","Kiralık Daire","3 +
                          1","130 m²","3
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/8/4/6/2/4/4/5751ca70-6ebf-4f96-b28a-85a2868a7d78.jpg","EİDS onaylı","Akhisar Atatürk Mh. Gölet Özel Otoparklı Kiralık 3+1 Lüx Daire","Manisa / Akhisar / Atatürk Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-turgutlu-yedi-eylul-kiralik/daire/77770-696","13","12.000","02-04-2025","Kiralık Daire","2 +
                          1","95 m²","20
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/5/2/8/0/4/4/f64d2536-ceb1-4c29-b691-f7926ba34ce3.jpg","EİDS onaylı","Turgutlu Kiralık Yedieylül Mah Ara Kat 2+1 Doğalgazlı Daire","Manisa / Turgutlu / Yedi Eylül Mah.","https://www.hepsiemlak.com/emlak-ofisi/serhat-emlak-gayrimenkul-77770","Serhat Emlak Gayrımenkul","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/7/7/7/7/0/50b4eb33-15e7-4bc3-b706-59f1cf0b875f.jpg"
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/90814-448","30","18.500","27-03-2025","Kiralık Daire","2 +
                          1","116 m²","Sıfır Bina","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/3/4/9/3/4/4/1743074596-37923-44394376.jpeg","EİDS onaylı","Hükümet Caddesi Üzerinde Kiralık 2 Oda 1 Salon Kapalı Mutfak Doğalgazlı","Manisa / Saruhanlı / Cengiz Topel Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-yunusemre-mesir-kiralik/daire/22228-10552","28","24.000","24-03-2025","Kiralık Daire","3 +
                          1","110 m²","28
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/9/4/1/3/4/4/ceaf7768-c9db-42dd-93f7-ab5e1d424a13.jpg","EİDS onaylı","Akdeniz Emlak'tan Yunus  Emre İlç Mesir Mah Kiralık 3+1  Daire","Manisa / Yunusemre / Mesir Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-haci-ishak-kiralik/daire/124874-224","28","18.000","25-03-2025","Kiralık Daire","3 +
                          1","130 m²","9
                        Yaşında","Zemin","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/8/1/4/1/3/4/1723212253364-43141889.jpg","","Manisa Akhisar İnönu Mh De Esyalı Kiralık Daire","Manisa / Akhisar / Hacı İshak Mah.","","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-akgedik-kiralik/daire/156185-14","20","18.000","18-03-2025","Kiralık Daire","3 +
                          1","125 m²","5
                        Yaşında","1. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/1/1/5/3/4/4/e403625d-46db-491a-9a04-00ab128278f3.jpg","","Manisa Akgedik Toki 1.Etap'ta 3+1 Kiralık Daire","Manisa / Yunusemre / Akgedik Mah.","","","",""
"https://www.hepsiemlak.com/manisa-salihli-kurtulus-kiralik/daire/37897-2467","26","15.000","25-03-2025","Kiralık Daire","2 +
                          1","88 m²","6
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/6/8/5/2/4/4/99c457ad-bf4d-46da-af48-edc4273b4d0e.jpg","EİDS onaylı","Salihli Cin Emlak'tan Kurtuluş Mah Kiralık 2+1 Doğalgazlı Daire","Manisa / Salihli / Kurtuluş Mah.","https://www.hepsiemlak.com/emlak-ofisi/cin-emlak-37897","Cin Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/8/7/3/0/da26f8bb-6d9b-4f19-b382-ace01755d7c4.jpg"
"https://www.hepsiemlak.com/manisa-turgutlu-mustafa-kemal-kiralik/daire/154871-3","11","14.000","03-04-2025","Kiralık Daire","2 +
                          1","110 m²","2
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/2/6/2/4/1/4/4/1738690512560-44142625.jpg","EİDS onaylı","Kiralık D.Gazlı Arakat Daire","Manisa / Turgutlu / Mustafa Kemal Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-kiralik/daire/6083-3736","29","30.000","25-03-2025","Kiralık Daire","4 +
                          1","189 m²","21
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/7/5/8/3/4/4/642614aa-fd4e-4057-8763-88609d185672.jpg","EİDS onaylı","Koçak'tan 4+1 Kombili Daire","Manisa / Yunusemre / Uncubozköy Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-salihli-mithatpasa-kiralik/daire/113729-608","13","15.000","17-03-2025","Kiralık Daire","1 +
                          1","45 m²","4
                        Yaşında","2. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/0/8/6/0/4/4/15a5366b-1d2e-4ebb-b581-5f3369e8d231.jpg","","Manisa Salihli Merkezde Kiralık Eşyalı 1+1 Jeotermal Isıtmalı Daire","Manisa / Salihli / Mithatpaşa Mah.","","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-merkez-efendi-kiralik/daire/95753-1627","16","18.000","25-03-2025","Kiralık Daire","3 +
                          1","128 m²","20
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/4/5/8/3/4/4/1742906881-881949-44385446.jpeg","EİDS onaylı","Manisa Yunusemre Merkezefendi Mah. 3+1 Fırsat Kiralık Daire ⭕️","Manisa / Yunusemre / Merkez Efendi Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-haci-ishak-kiralik/daire/94137-1241","41","10.000","01-04-2025","Kiralık Daire","2 +
                          1","100 m²","20
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/4/3/5/7/3/4/4/1742702336440-44375346.jpg","EİDS onaylı","Akhisar Hacıishak Mahallesi'nde 2+1 Kiralık Daire","Manisa / Akhisar / Hacı İshak Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/90814-447","14","15.000","25-03-2025","Kiralık Daire","2 +
                          1","100 m²","1
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/4/5/8/3/4/4/1742907088-01705-44385484.jpeg","EİDS onaylı","Saruhanlı Atatürk Caddesi Üzerinde 2 Oda 1 Açık Mutfaklı Doğalgazlı Daire","Manisa / Saruhanlı / Cengiz Topel Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-has-hoca-kiralik/daire/144740-158","32","15.500","03-04-2025","Kiralık Daire","3 +
                          1","130 m²","7
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/5/9/8/3/4/4/3df8b252-9446-4438-8739-3b8672356711.jpg","EİDS onaylı","Akhisar Cumhuriyette Fahri Sertel Emlaktan Kiralık 3+1 Daire","Manisa / Akhisar / Has Hoca Mah.","https://www.hepsiemlak.com/emlak-ofisi/fahri-sertel-emlak-144740","Fahri Sertel Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/7/4/4/1/fe55adb6-335c-4f96-b000-aee02538db59.jpg"
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/9333-1778","36","12.000","03-04-2025","Kiralık Daire","1 +
                          1","60 m²","1
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","1+1 Değişik Konsepte Sıfır Daireler","Manisa / Saruhanlı / Cengiz Topel Mah.","","","",""
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/94137-1200","45","18.000","03-04-2025","Kiralık Daire","3 +
                          1","145 m²","12
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","","EİDS onaylı","Akhisar Hürriyet Mahallesi'nde 3+1 Kiralık Daire","Manisa / Akhisar / Hürriyet Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-yunusemre-guzelyurt-kiralik/daire/154167-141","14","20.000","03-04-2025","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/6/1/4/5/1/d0e406aa-6799-4fd1-be5a-843336674d01.jpg","EİDS onaylı","Remax İlyada 3'den Statü Çarşıda 1+1 Loft Kiralık Daire & Ofis","Manisa / Yunusemre / Güzelyurt Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-ilyada-3-154167","Remax İlyada 3","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-salihli-cumhuriyet-kiralik/daire/68229-79","13","18.000","02-04-2025","Kiralık Daire","3 +
                          1","140 m²","20
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/2/2/5/3/4/4/1742325136477-44352269.jpg","EİDS onaylı","Cumhuriyet Mah.- Menderes Cad. Üzerinde Kiralık 2.Kat 3+1 130 M2. Jeotermalli Daire","Manisa / Salihli / Cumhuriyet Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-salihli-mithatpasa-kiralik/daire/149302-29","13","14.000","28-03-2025","Kiralık Daire","1 +
                          1","45 m²","8
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/5/3/5/1/4/4/45e1b9a6-7a24-4199-b408-0470e4c09911.jpg","EİDS onaylı","Salihli De Kiralık Eşyalı 1+1 Daire","Manisa / Salihli / Mithatpaşa Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-salihli-cumhuriyet-kiralik/daire/104662-610","12","15.000","22-03-2025","Kiralık Daire","3 +
                          1","130 m²","25
                        Yaşında","4. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/5/0/5/6/3/4/1730719473-434156-43650515.jpeg","","Salihli Cumhuriyet De Kiralık 3+1 Daire","Manisa / Salihli / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/zehra-zurnaci-gayrimenkul-ve-danismanlik-104662","Zehra Zurnacı Gayrimenkul Ve Danışmanlık","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/6/6/4/0/1/704f52e2-7d0d-4993-b58a-aa2a9fd5eeae.jpg"
"https://www.hepsiemlak.com/manisa-salihli-mithatpasa-kiralik/daire/150680-64","12","15.000","01-04-2025","Kiralık Daire","2 +
                          0","70 m²","6
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/6/9/0/4/4/4/1743523421-845021-44409645.jpeg","EİDS onaylı","Salihli Merkez Kurudere Caddesi Civarı Full Eşyalı 1+1 Daire 960","Manisa / Salihli / Mithatpaşa Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-hurriyet-kiralik/daire/144740-156","35","13.500","03-04-2025","Kiralık Daire","2 +
                          1","100 m²","25
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/0/4/8/3/4/4/378d94ff-e86b-4c71-8fbd-f80b951de6ff.jpg","EİDS onaylı","Akhisar Hürriyet Fahri Sertel Emlaktan Kiralık 2+1 Daire","Manisa / Akhisar / Hürriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/fahri-sertel-emlak-144740","Fahri Sertel Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/7/4/4/1/fe55adb6-335c-4f96-b000-aee02538db59.jpg"
"https://www.hepsiemlak.com/manisa-salihli-cumhuriyet-kiralik/daire/37897-2450","42","12.000","25-03-2025","Kiralık Daire","3 +
                          1","140 m²","25
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/3/8/0/1/4/4/fc778a4f-2b3e-488d-b28c-82618104e797.jpg","EİDS onaylı","Salihli Cin Emlak'tan Cumhuriyet Mah Kiralık 3+1 Jeotermali Yüksek Zemin Daire","Manisa / Salihli / Cumhuriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/cin-emlak-37897","Cin Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/8/7/3/0/da26f8bb-6d9b-4f19-b382-ace01755d7c4.jpg"
"https://www.hepsiemlak.com/manisa-salihli-eski-cami-kiralik/daire/113678-778","33","30.000","18-03-2025","Kiralık Daire","4 +
                          1","200 m²","20
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/9/4/2/3/4/4/1044729b-4164-47cd-8631-7478cac9febb.jpg","EİDS onaylı","Tc Emlaktan Kiralık Esyalı Dubleks Daireee","Manisa / Salihli / Eski Cami Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-turgutlu-yeni-kiralik/daire/123058-1706","24","20.000","11-03-2025","Kiralık Daire","3 +
                          1","140 m²","4
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/6/4/1/3/4/4/3e469f8d-d56e-437e-82cb-a4d6b84a01d4.jpg","EİDS onaylı","Yeni Mahalle'de Kiralık 3+1 Bahçeli Zemin Kat Daire","Manisa / Turgutlu / Yeni Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-kiralik/daire/9333-1788","26","16.000","03-04-2025","Kiralık Daire","3 +
                          1","155 m²","1
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/7/9/3/9/3/4/1735231262822-43939719.jpg","EİDS onaylı","Cengiz Topel Tesisler Civarı 3+1 Arakat Doğalgazlı","Manisa / Saruhanlı / Cengiz Topel Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-alasehir-kurtulus-kiralik/daire/0-44341429","9","15.000","16-03-2025","Kiralık Daire","1 +
                          1","41 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/4/1/4/3/4/4/1742140744068-44341429.jpg","EİDS onaylı","Her Şeyi Sıfır Eşyalı 1+1 Daire","Manisa / Alaşehir / Kurtuluş Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-yunusemre-akgedik-kiralik/daire/156185-16","18","18.000","19-03-2025","Kiralık Daire","3 +
                          1","128 m²","5
                        Yaşında","1. Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/4/3/5/3/4/4/c483a9a1-83f4-4eea-87c0-e331d812faf8.jpg","","Manisa Akgedik Toki 2.Etap 2.Kısım Kiralık 3+1 Daire","Manisa / Yunusemre / Akgedik Mah.","","","",""
"https://www.hepsiemlak.com/manisa-salihli-yoruk-kiralik/daire/37897-2390","37","18.000","25-03-2025","Kiralık Daire","3 +
                          1","140 m²","15
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/0/7/1/3/3/4/fc09ea03-135b-4e7f-b887-a88838593dcd.jpg","EİDS onaylı","Salihli Cin Emlak'tan Yörük Mah Milliegemenlik Park Yanı Kiralık 3+1 Doğalgazlı 3 Kat Daire","Manisa / Salihli / Yörük Mah.","https://www.hepsiemlak.com/emlak-ofisi/cin-emlak-37897","Cin Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/8/7/3/0/da26f8bb-6d9b-4f19-b382-ace01755d7c4.jpg"
"https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-kiralik/daire/64671-823","20","30.000","25-03-2025","Kiralık Daire","4 +
                          2","190 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/1/0/8/3/4/4/536dfd14-3f86-4c9e-a06c-47b7552d37ab.jpg","EİDS onaylı","Öz Elit Emlak'tan Yeni Mah. Kiralık 2+1 Çift Daire Doğalgazlı 30.000 Tl.","Manisa / Yunusemre / Yeni Mahalle Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-turgutlu-mustafa-kemal-kiralik/daire/154871-13","11","13.500","03-04-2025","Kiralık Daire","2 +
                          1","95 m²","5
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/5/7/9/3/4/4/1743144157182-44397550.jpg","EİDS onaylı","Kiralık Yüksek Zemin Daire","Manisa / Turgutlu / Mustafa Kemal Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-turgutlu-selvilitepe-kiralik/daire/155066-21","11","19.000","04-04-2025","Kiralık Daire","2 +
                          1","105 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/8/5/5/4/3/4/4/1742218381216-44345580.jpg","EİDS onaylı","Musal Cıvarı Yerden Isıtma Geniş 2+1 Sıfır Daire","Manisa / Turgutlu / Selvilitepe Mah.","","","https://hecdn01.hemlak.com/img/eids-logo-mini.png",""
"https://www.hepsiemlak.com/manisa-akhisar-cumhuriyet-kiralik/daire/143974-313","10","20.000","04-04-2025","Kiralık Daire","4 +
                          1","200 m²","Sıfır Bina","En Üst Kat","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/5/9/1/2/4/4/1740002649482-44219510.jpg","","Manisa Akhisar Cumhuriyet Mah. Dubleks Kiralık 4+1 Daire 20.000tl","Manisa / Akhisar / Cumhuriyet Mah.","","","",""
"https://www.hepsiemlak.com/manisa-yunusemre-laleli-kiralik/daire/31745-21864","18","20.000","25-03-2025","Kiralık Daire","2 +
                          1","98 m²","32
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/5/8/0/1/4/4/5d9c6747-fb48-4d32-98e5-cc5838edc0b0.jpg","EİDS onaylı","Pazara,Marketlere Yakın,Full Eşyalı,Doğalgazlı 2+1 Kiralık Daire","Manisa / Yunusemre / Laleli Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-5-31745","Kw Alesta-viya-orsa 5","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/4/7/1/3/0/6718b45f-7eab-4495-a6ae-e40f674f4b91.jpg"
